order	season	episode	character_killed	killer	method	method_cat	reason	location	allegiance	importance
4095	8	3	Wight	Rhaegal	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4096	8	3	Wight	Rhaegal	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4097	8	3	Wight	Rhaegal	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4098	8	3	Wight	Rhaegal	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4099	8	3	Wight	Rhaegal	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4100	8	3	Wight	Rhaegal	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4101	8	3	Wight	Rhaegal	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4102	8	3	Wight	Rhaegal	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4103	8	3	Wight	Rhaegal	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4104	8	3	Wight	Rhaegal	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4105	8	3	Wight	Rhaegal	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4106	8	3	Wight	Rhaegal	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4107	8	3	Wight	Rhaegal	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4108	8	3	Wight	Rhaegal	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4109	8	3	Wight	Rhaegal	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4110	8	3	Wight	Rhaegal	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4111	8	3	Wight	Rhaegal	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4112	8	3	Wight	Rhaegal	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4113	8	3	Wight	Rhaegal	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4114	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4115	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4116	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4117	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4118	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4119	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4120	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4121	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4122	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4123	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4124	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4125	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4126	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4127	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4128	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4129	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4130	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4131	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4132	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4133	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4134	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4135	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4136	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4137	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4138	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4139	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4140	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4141	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4142	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4143	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4144	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4145	8	3	Wight	Jaime Lannister	Sword	Blade	Killed during the Battle of Winterfell	Winterfell	None	1
4146	8	3	Wight	Jaime Lannister	Sword	Blade	Killed during the Battle of Winterfell	Winterfell	None	1
4147	8	3	Wight	Podrick Payne	Sword	Blade	Killed during the Battle of Winterfell	Winterfell	None	1
4148	8	3	Wight	Brienne of Tarth	Sword (Oathkeeper)	Blade	Killed during the Battle of Winterfell	Winterfell	None	1
4151	8	3	Wight	Tormund	Axe	Axe	Killed during the Battle of Winterfell	Winterfell	None	1
4152	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4153	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4154	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4155	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4156	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4157	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4158	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4159	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4160	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4161	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4162	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4163	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4164	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4165	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4166	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4167	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4168	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4169	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4170	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4171	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4172	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4173	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4174	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4175	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4176	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4177	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4178	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4179	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4180	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4181	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4182	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4183	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4184	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4185	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4186	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4187	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4188	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4189	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4190	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4191	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4192	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4193	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4194	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4195	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4196	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4197	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4198	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4199	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4200	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4201	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4202	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4203	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4204	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4205	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4206	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4207	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4208	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4209	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4210	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4211	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4212	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4213	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4214	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4215	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4216	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4217	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4218	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4219	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4220	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4221	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4222	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4223	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4224	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4225	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4226	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4227	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4228	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4229	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4230	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4231	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4232	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4233	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4234	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4235	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4236	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4237	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4238	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4239	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4240	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4241	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4242	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4243	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4244	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4245	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4246	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4247	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4248	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4249	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4250	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4251	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4252	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4253	8	3	Wight	Jorah Mormont	Sword (Heartsbane)	Blade	Killed during the Battle of Winterfell	Winterfell	None	1
4254	8	3	Wight	Jorah Mormont	Sword (Heartsbane)	Blade	Killed during the Battle of Winterfell	Winterfell	None	1
4255	8	3	Wight	Jorah Mormont	Sword (Heartsbane)	Blade	Killed during the Battle of Winterfell	Winterfell	None	1
4256	8	3	Wight	Jorah Mormont	Sword (Heartsbane)	Blade	Killed during the Battle of Winterfell	Winterfell	None	1
4257	8	3	Wight	Jorah Mormont	Sword (Heartsbane)	Blade	Killed during the Battle of Winterfell	Winterfell	None	1
4258	8	3	Wight	Jorah Mormont	Sword (Heartsbane)	Blade	Killed during the Battle of Winterfell	Winterfell	None	1
4264	8	3	Wight	Tormund	Axe	Axe	Killed during the Battle of Winterfell	Winterfell	None	1
4265	8	3	Wight	Tormund	Axe	Axe	Killed during the Battle of Winterfell	Winterfell	None	1
4266	8	3	Wight	Tormund	Axe	Axe	Killed during the Battle of Winterfell	Winterfell	None	1
4267	8	3	Wight	Jaime Lannister	Sword	Blade	Killed during the Battle of Winterfell	Winterfell	None	1
4268	8	3	Wight	Podrick Payne	Sword	Blade	Killed during the Battle of Winterfell	Winterfell	None	1
4269	8	3	Wight	Gendry	Axe	Axe	Killed during the Battle of Winterfell	Winterfell	None	1
4270	8	3	Wight	Sandor “the Hound” Clegane	Axe	Axe	Killed during the Battle of Winterfell	Winterfell	None	1
4271	8	3	Wight	Sandor “the Hound” Clegane	Axe	Axe	Killed during the Battle of Winterfell	Winterfell	None	1
4272	8	3	Wight	Sandor “the Hound” Clegane	Axe	Axe	Killed during the Battle of Winterfell	Winterfell	None	1
4273	8	3	Wight	Sam Tarly	Sword	Blade	Killed during the Battle of Winterfell	Winterfell	None	1
4274	8	3	Wight	Sam Tarly	Sword	Blade	Killed during the Battle of Winterfell	Winterfell	None	1
4275	8	3	Wight	Eddison Tollett	Sword	Blade	Killed during the Battle of Winterfell	Winterfell	None	1
4276	8	3	Wight	Jaime Lannister	Sword	Blade	Killed during the Battle of Winterfell	Winterfell	None	1
4278	8	3	Wight	Tormund	Axe	Axe	Killed during the Battle of Winterfell	Winterfell	None	1
4279	8	3	Wight	Tormund	Axe	Axe	Killed during the Battle of Winterfell	Winterfell	None	1
4293	8	3	Wight	Grey Worm	Spear	Polearm	Killed during the Battle of Winterfell	Winterfell	None	1
4294	8	3	Wight	Grey Worm	Spear	Polearm	Killed during the Battle of Winterfell	Winterfell	None	1
4295	8	3	Wight	Grey Worm	Spear	Polearm	Killed during the Battle of Winterfell	Winterfell	None	1
4297	8	3	Wight	Tormund	Axe	Axe	Killed during the Battle of Winterfell	Winterfell	None	1
4298	8	3	Wight	Gendry	Axe	Axe	Killed during the Battle of Winterfell	Winterfell	None	1
4301	8	3	Wight	Arya Stark	Flaming arrow	Arrow	Killed during the Battle of Winterfell	Winterfell	None	1
4302	8	3	Wight	Sandor “the Hound” Clegane	Axe	Axe	Killed during the Battle of Winterfell	Winterfell	None	1
4329	8	3	Wight	Jorah Mormont	Sword (Heartsbane)	Blade	Killed during the Battle of Winterfell	Winterfell	None	1
4330	8	3	Wight	Beric Dondarrion	Flaming sword	Blade	Killed during the Battle of Winterfell	Winterfell	None	1
4331	8	3	Wight	Tormund	Axe	Axe	Killed during the Battle of Winterfell	Winterfell	None	1
4332	8	3	Wight	Tormund	Axe	Axe	Killed during the Battle of Winterfell	Winterfell	None	1
4333	8	3	Wight	Sandor “the Hound” Clegane	Axe	Axe	Killed during the Battle of Winterfell	Winterfell	None	1
4334	8	3	Wight	Sandor “the Hound” Clegane	Axe	Axe	Killed during the Battle of Winterfell	Winterfell	None	1
4335	8	3	Wight	Jorah Mormont	Sword (Heartsbane)	Blade	Killed during the Battle of Winterfell	Winterfell	None	1
4340	8	3	Wight	Sandor “the Hound” Clegane	Axe	Axe	Killed during the Battle of Winterfell	Winterfell	None	1
4341	8	3	Wight	Tormund	Axe	Axe	Killed during the Battle of Winterfell	Winterfell	None	1
4342	8	3	Wight	Beric Dondarrion	Flaming sword	Blade	Killed during the Battle of Winterfell	Winterfell	None	1
4343	8	3	Wight	Jorah Mormont	Sword (Heartsbane)	Blade	Killed during the Battle of Winterfell	Winterfell	None	1
4345	8	3	Wight	Melisandre “the Red Woman” of Asshai	Fire	Fire/Burning	Killed during the Battle of Winterfell	Winterfell	None	1
4346	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4347	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4348	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4349	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4350	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4351	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4352	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4353	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4354	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4355	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4356	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4357	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4358	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4359	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4360	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4361	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4362	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4363	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4364	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4365	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4366	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4367	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4368	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4369	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4370	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4371	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4372	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4373	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4374	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4375	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4376	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4383	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4384	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4385	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4386	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4387	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4388	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4389	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4390	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4391	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4392	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4393	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4394	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4395	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4396	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4397	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4398	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4399	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4400	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4401	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4402	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4403	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4404	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4405	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4406	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4407	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4408	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4409	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4410	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4411	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4412	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4413	8	3	Wight	Drogon	Dragonfire	Animal	Killed during the Battle of Winterfell	Winterfell	None	1
4444	8	3	Wight	Gendry	Axe	Axe	Killed during the Battle of Winterfell	Winterfell	None	1
4445	8	3	Wight	Jaime Lannister	Sword	Blade	Killed during the Battle of Winterfell	Winterfell	None	1
4448	8	3	Wight	Tormund	Axe	Axe	Killed during the Battle of Winterfell	Winterfell	None	1
4449	8	3	Wight	Jorah Mormont	Sword (Heartsbane)	Blade	Killed during the Battle of Winterfell	Winterfell	None	1
4450	8	3	Wight	Sam Tarly	Sword	Blade	Killed during the Battle of Winterfell	Winterfell	None	1
4452	8	3	Wight	Brienne of Tarth	Sword (Oathkeeper)	Blade	Killed during the Battle of Winterfell	Winterfell	None	1
