Character,Text
Calanthe,"As your Queen, I grant you this commendation, which will symbolize your duty and bond…"
Stregobor,"Destiny has many faces, Witcher. Mine, for example, is beautiful on the outside, but hideous on the inside. She has stretched her bloody talons towards me."
Geralt,"Wizards are all the same. You talk nonsense while making wise and meaningful faces. Speak normally."
Stregobor,"Have you ever heard of the Curse of the Black Sun? First full eclipse in 1200 years. It marked the imminent return of Lilit, demon goddess of the night sent to exterminate the human race. According to the wise mage Eltibald, Lilit’s path was to be prepared by 60 women wearing gold crowns who’d fill the river valleys with blood."
Geralt,"Hm. Doesn’t rhyme. All good predictions rhyme."
Stregobor,"I studied the girls born around the Black Sun and I found horrendous internal mutations among them. I tried to cure them, locked them in towers for safekeeping, but the girls always died."
Geralt,"Internal mutations?"
Stregobor,"They were autopsied, of course, to confirm my suspicions. But eliminating these women was the lesser evil. They could have drowned entire kingdoms in blood. If you’d been alive during Falka’s Rebellion, see what I saw-"
Geralt,"Innocent women are dead. Hm. She’s after you."
Stregobor,"Daughter of King Fredefalk of Creyden. I delivered the princess myself in the middle of the afternoon in pitch black."
Geralt,"Under the Black Sun, so she’s cursed."
Stregobor,"Do you consider me a fool, Witcher? Do you think I did not conduct research? Renfri was acutely affected. Her stepmother, Aridea, told me she tortured a canary, strangled two puppies, even gouged out her maid’s eyes with a comb. I admit what happened next was not ideal, but with the lives of Aridea’s own children on the line, we had to act. So I dispatched someone to follow Renfri into the woods. We found him in the brush, Renfri’s antique brooch jammed into his ear. After that, I organized a manhunt to find the princess, but she was gone. Two years. Until she reappeared, robbing and murdering merchants on the roads of Mahakam. Impaled them on sticks at first, but soon, she picked up sword skills. And now no man can defy her, it’s said."
Geralt,"You’re not a man. You’re a magician."
Stregobor,"She’s resistant to magic."
Geralt,"That’s impossible in humans."
Stregobor,"Not mutated ones. She’s chased me for years bent on revenge. And now she’s tracked me here, just as you arrived. Destiny. Kill her. I’ll pay you anything."
Geralt,"I kill monsters."
Stregobor,"The kikimora kills because it’s hungry, Renfri kills for pleasure. She is a monster. She is the last of Lilit’s women. And she possesses the power to destroy us all."
Geralt,"I don’t believe anyone has that power."
Stregobor,"With the fate of the Continent at stake, is that a chance you’re willing to take? There’s your rhyme. Killing Renfri is the lesser evil."
Geralt,"Evil is evil, Stregobor. Lesser, greater, middling… it’s all the same. I’m not judging you. I haven’t only done good in my life either. But now, if I have to chose between one evil and another, then I prefer not to choose at all."
Eist,"These shindigs need a touch of the old abracadabra."
Mousesack,"At your service, Your Majesty. Ticks and illusions to delight."
Calanthe,"He means to pull a disappearing act. Don’t you?"
Eist,"No. I saw the Wraiths of Mörhogg over the channel this morning."
Calanthe,"Yes, you mentioned."
Ciri,"Who?"
Eist,"No good will come of it. They’re an omen of war."
Calanthe,"The North has been at war since Nilfgaard took Ebbing. If legend is true, the Wild Hunt’s years behind the curve."
Eist,"The Nilfgaardian force crossed the Amell Pass."
Calanthe,"Headed to Sodden, if they’re smart. And if not, 50 of your Skelligen ships are on the way. We have more knights. We are prepared in case-"
Ciri,"Prepared for what?"
Calanthe,"Nothing for you to be concerned about."
Ciri,"Your dismissive tone says it is."
Eist,"We’re talking of war, girl."
Ciri,"With Nilfgaard? Why?"
Calanthe,"Eist!"
Eist,"Should we fall to Nilfgaard, your granddaughter will rule. She needs to understand the way of things."
Calanthe,"We will not fall, because we are not under attack! She’s a child."
Ciri,"You won your first battle in Hochebuz when you were my age. I’ve heard the ballad."
Eist,"Pretty ballads hide the bastard truths."
Ciri,"It’s a catchy song."
Calanthe,"Three thousand of my men died. If we must do this now, here is your first lesson. As in life, it is impossible always to be fully prepared for battle. Keep your sword close and keep moving."
Lord Marbury,"Your Majesty… Your Majesty. Thank you for allowing our company at this splendid affair."
Martin,"Your Majesties. Your Highness. Would you honor me with a dance?"
Ciri,"Uh… Martin-"
Calanthe,"She’d love to."
Eist,"Reminds me of your daughter’s betrothal feast. The night you finally saw sense, said yes. Made me the happiest man on the Continent."
Calanthe,"I did it to save my kingdom. And, no, you may not leave this shindig."
Sir Danek,"Your Majesty, my scouts have returned. Nilfgaard is on its way to Cintra."
Calanthe,"I stand corrected. They’re here. They’re already here."
Eist,"So much for being smart. You should tell the girl."
Calanthe,"Let her enjoy this night in peace. It may be her last for a while."
Renfri,"The girl this morning, she took you to see Stregobor, didn’t she?"
Geralt,"I know who you are."
Renfri,"You know that I want to kill Stregobor then. I used to be a princess. Did he tell you that? Until he sent a thug into the woods to kill me."
Geralt,"You killed him."
Renfri,"With my mother’s brooch. Stregobor’s man raped me, robbed me and let me go. No more princess. I had to survive. I stole rather than starve. I killed rather than be killed. Nohorn and the others saved me. And they’ll be by my side at the market as I get my revenge. Lilit help me, I will take down anyone in my way. Unless destiny intervenes."
Geralt,"You want me to kill Stregobor for you."
Renfri,"It’s the lesser evil."
Geralt,"So I keep getting told."
Renfri,"Stregobor asked you to kill me too. ‘Cause I was a girl born during an eclipse? I could’ve become so many things. Queen Calanthe of Cintra, she just won her first battle at Hochebuz. But here I am trying to convince you I’m not-"
Geralt,"A monster. Are you?"
Renfri,"How am I to know? When I cut my finger, I bleed. That’s human, right? When I overeat, my stomach aches. When I’m happy, I laugh. When I’m upset, I swear. And when I hate someone for stealing my whole life from me, I kill him."
Geralt,"Hm."
Renfri,"People call you a monster too."
Geralt,"A mutant."
Renfri,"What if they come after you? Attack you?"
Geralt,"They have."
Renfri,"Why not kill them?"
Geralt,"Because then I am what they say I am."
Renfri,"If I tell you, Witcher, that I can neither forgive Stregobor nor renounce my revenge, is that it? I admit I’m a monster?"
Geralt,"Yes. Or you can leave Blaviken and finally live. You choose, Princess."
soldier,"Keep it steady! Steady! Stand by! Hold…"
Calanthe,"Charge!"
Ciri,"Not fair that I’m trapped here."
Mousesack,"I could magically put you to sleep, Princess. Just an idea."
Ciri,"It’s been two days."
Mousesack,"For you and everyone else in the castle. The King and Queen ordered us to remain here, and that’s what we shall do."
Ciri,"And why are you not there? Wherever they are."
Lazlo,"My duty is t protect you."
Ciri,"You’re resentful of that burden."
Lazlo,"It’s the greatest honor of my life."
Ciri,"You’re both incredibly boring."
Mousesack,"Many, many years ago, sorcerers were known to lock little girls in towers. I’m beginning to understand why."
Ciri,"You know cautionary tales don’t work on me."
Mousesack,"The girls were said to be cursed. They were said to announce the end of the human race."
Ciri,"Ooh."
Mousesack,"So they were systematically killed. The end."
Ciri,"Will my grandmother be all right?"
Mousesack,"You will be all right, Princess. You are her blood. And the apple never falls far from the tree."
Eist,"We’re losing!"
Calanthe,"The ships from Skellige?"
Sir Danek,"There’s been a storm, Your Majesty. No one’s coming!"
Calanthe,"Then we fight alone. We cannot surrender Cintra!"
Eist,"Nor will we!"
Calanthe,"Eist. Move! No!"
woman,"Guide us to the safety of your arms, hold us in your light, protect us from the imperial darkness that threatens our souls. Princess Cirilla."
Martin,"Are we going to be okay?"
Lady Marbury,"Don’t worry, Martin. The Queen will defeat Nilfgaard. We will go home soon. Your Highness."
Sir Danek,"…won’t stop until they get what they want!"
Calanthe,"…a hundred arrows on my body first!"
Sir Danek,"Your Majesty, what must…"
Calanthe,"My sweet child. Careful. Careful. Cintra is under attack, Eist is dead. Nilfgaard have made their way into the city."
Ciri,"Why?"
Calanthe,"The citizens, how many of them are safe within our walls?"
Sir Danek,"A hundred or so, Your Majesty. The guests from the banquet."
Calanthe,"The supplies… check we have enough."
Sir Danek,"Aye."
Calanthe,"You’ve been brave, my child, while I’ve been gone?"
Ciri,"I haven’t. Ask Mousesack. I’ve been impatient."
Calanthe,"You will rule this land someday. You know that, don’t you?"
Ciri,"Why are you saying all this? Are you dying?"
Calanthe,"My sweet child, when I go, it will be far more dramatic than this. Now, child, let me rest."
Mousesack,"They’ve reached the gate."
Ciri,"What are you doing? How long will it hold?"
Mousesack,"As long as I hold."
Geralt,"You know what Vesemir would say? “Witcher shouldn’t play at being white knights. We shouldn’t try and uphold the law. We don’t show off. We get paid in coin.” And he’s right. Hm. Want to hear about my first monster? Wasn’t fifty miles outside of Kaer Morhen. He was huge. Stinking. Bald head. Rotten teeth. He pulled that girl from the cart, tore her dress off in front of her father and said, “It’s time you met a real man.” I told him it was time he met one too. It took two strikes to kill him. They weren’t clean. But they were spectacular. I turned to that girl afterwards. She was drenched in the man’s blood. She took one look at me, screamed, vomited, and passed out. Yeah. I thought the world needed me too."
Renfri,"Who were you talking to?"
Geralt,"I talk to my horse."
Renfri,"That’s sad."
Geralt,"Is it?"
Renfri,"Tell me, Witcher. You don’t believe in destiny or the lesser evil. What do you believe in?"
Geralt,"You mean, who do I believe. I don’t pick sides."
Renfri,"You just kill monsters. I’ve made my decision. You gave me an ultimatum and I find they work. Tomorrow, I’ll leave Blaviken. For good. My men, they love me and I love them. But it’s been a long time since someone saw me. When I was a girl, my mother used to run her fingers over my forehead. She’d say she’d give a lovely lintar to know the thoughts going around in there."
Sir Danek,"Your Majesty, the Nilfgaardians will breach the castle gates."
Mousesack,"Have breached. My powers could not hold them any longer, Your Majesty."
Ciri,"Now what? What do we do?"
Calanthe,"Mousesack. He’s in the gatekeep."
Mousesack,"Destiny may yet side with us."
Calanthe,"Danek. It’s time."
Sir Danek,"Aye."
Ciri,"Wait, where are you going?"
Calanthe,"Come here, child. Lesson number two. Know when it’s time to stop moving."
Ciri,"You’re conceding."
Calanthe,"Nilfgaard takes no prisoners. Which means that right now, my citizens are being tortured. Their insides are being pulled to their outsides while they watch. Their legs lit on fire. Their tongues fed to the dogs."
Mousesack,"Your Majesty. He’s gone."
Calanthe,"What? In the face of the inevitable, Cirilla, good leaders should always choose mercy. In the future, you will be wise to do the same. Lazlo, bring her cloak."
Ciri,"What? No."
Calanthe,"Continue to be brave. Promise me. You are the Lion Cub of Cintra. You are destined for great things."
Ciri,"I can’t do this without you."
Lazlo,"We must go, Your Highness."
Ciri,"No!"
Calanthe,"Go. The world depends on it."
Ciri,"I love you."
Calanthe,"Find Geralt of Rivia. He is your destiny. "
Mousesack,"Your Majesty."
Calanthe,"I saw it too. It is why they came."
Mousesack,"I will deliver her. I give you my word."
Calanthe,"Mousesack. Your service has been an honor to us all."
Mousesack,"As has yours. Your Majesty."
Sir Danek,"I’m sorry to disturb, my lady. It is time. Nilfgaard is nigh. It is time."
Lady Marbury,"We can leave. We can find a way out."
Lord Marbury,"This… This I our way out."
Martin,"What are you doing?"
Lady Marbury,"It’s me, my son."
Martin,"What is this?"
Lady Marbury,"It’s okay."
Mousesack,"Horses. Princess, come."
Nilfgaardian soldier,"Hey!"
Mousesack,"Keep going."
Ciri,"No!"
Mousesack,"Princess, I gave your grandmother my word. Allow me to keep it. Go."
Ciri,"My grandmother said I had to leave. Why? Why is Nilfgaard here? Why does the world depend on it?"
Lazlo,"Hold on, Your Highness. Hyah! We’re getting close to the gate."
Ciri,"I’ve been protected my whole life, Lazlo. Why? "
Renfri,"You’re in the market. Covered in blood. You say you can’t choose, but you had to. And you’ll never know if you were right. Geralt… Your reward will be a stoning. And you will run. You will try to outrun the girl in the woods, but you cannot. She is your destiny."
Geralt,"Renfri. The market."
Nohorn,"She knew you’d come."
Geralt,"Where is Renfri?"
Nohorn,"She’s at the tower with your little friend, Marilka."
mercenary 1,"She gave us a message to pass on to you. You have to choose the lesser evil."
mercenary 2,"It’s an ultimatum. Get it?"
Geralt,"Fuck."
Marilka,"Geralt! Geralt! No."
Renfri,"You chose."
Geralt,"Let the girl go."
Renfri,"I will kill her. I will kill everyone here until Stregobor comes down."
Geralt,"Leave Blaviken. It’s not to late."
Renfri,"Magic doesn’t work on me. Silver does though."
Geralt,"Silver is for monsters. If we cross swords…"
Renfri,"I won’t be able to stop. They created me just as they created you. We’re not so different. The girl in the woods will be with you always. She is your destiny."
Cahir,"Get- get back here, you little- No. No!"
Stregobor,"Incredible. Marilka. Marilka? Marilka! Get me a cart. We’ll take her to the tower for an autopsy."
Geralt,"If you touch a single hair on her head yours will be on the ground next."
Stregobor,"Have you gone mad? Her mutation, it influences people. That’s how she got these men to follow her. We need to take it. She got to you too, didn’t she?"
Geralt,"Do not touch her."
Stregobor,"Witcher. You butchered bodies in the streets of Blaviken."
Inkeeper,"You’re a beast."
Isadora,"You endangered the girl."
woman in the crowd,"Beast!"
man in the crowd,"He’s killed every single…"
Stregobor,"You took the law into your own hands."
woman in the crowd,"Bastard!"
woman in the crowd,"He’s a bad one!"
man in the crowd,"Get out of here!"
man in the crowd,"Get out and don’t come back!"
woman in the crowd,"Go on! Butcher!"
Stregobor,"You made a choice. And you’ll never know if it was the right one."
woman in the crowd,"Die, Witcher!"
woman in the crowd,"Go, Witcher! Die!"
Marilka,"Get out of Blaviken, Geralt. Don’t ever come back."
woman in the crowd,"Bastard!"
Renfri,"The girl in the woods will be with you always. She is your destiny."
Tiffania,"So, where are you taking me?"
Filip,"It's a surprise."
Tiffania,"A surprise? What surprise?"
Filip,"I got you something."
Tiffania,"Do tell."
Filip,"Well, if I tell now, it wouldn’t be a surprise, would it?"
Tiffania,"You’re a very, very naughty boy."
Filip,"Stand there. Close your eyes. Open."
Tiffania,"A daisy? Not a rose?"
Filip,"Roses are cliché."
Tiffania,"Daisies are cheap."
Filip,"I can still kiss you, right?"
Tiffania,"Where did it go?"
Filip,"What?"
Tiffania,"My daisy."
Filip,"Thought you didn’t want it?"
Tiffania,"Ugh! Now it smells of pig shit."
Filip,"You’ve been spying on us, you creep?"
Tiffania,"‘Course. Look at her No one’s ever kissed that."
Filip,"Could she even stand up straight to do it?"
Tiffania,"Where you going, crooked girl? We can teach you."
Yennefer,"Leave me alone. Stop."
Tiffania,"I hear your father makes you sleep with pigs."
Yennefer,"Stop."
Tiffania,"Your own family doesn’t even want you."
Istredd,"Who are you?"
Yennefer,"What- what is all this? Am I dead? How did I get here?"
Istredd,"Well, it looks to me like you portalled in."
Yennefer,"I what?"
Istredd,"You know, portalled. From wherever you were to here. The Tower of the Gull. Aretuza. Oh, you’re a virgin."
Yennefer,"I’m sorry. I’m s- I’m sorry."
Istredd,"Your backhand is even more impressive than your magic."
Yennefer,"My what?"
woman,"We’re not supposed to be out here…"
Yennefer,"What’s wrong?"
Istredd,"If you could conjure that portal out of thin air, she’ll be coming for you."
Yennefer,"She? She who? What are you doing?"
Istredd,"Open the door"
Yennefer,"What’s that?"
Istredd,"It’s a- a different kind of portal. One that can’t be tracked. See, the one you made has put a target on your back, but this will take you home. Look, you can trust me."
Yennefer,"What’s your name?"
Istredd,"Istredd. Wait. What’s your-"
Fletcher,"Get out of there, girl."
Yennefer,"I can do it."
Tissaia,"How much for a pig?"
Fletcher,"I’ll be at market tomorrow."
Tissaia,"Well, I’m here today."
Fletcher,"Ten marks."
Tissaia,"How much for this beast?"
Fletcher,"Six."
Tissaia,"Four."
Kaveri,"What are you doing?"
Fletcher,"Sold. Four marks."
Kaveri,"Have you gone mad? You can’t let them have her."
Fletcher,"As I said, sold. Four marks."
Kaveri,"The woman’s a witch. You know what they will do. She’s our daughter."
Fletcher,"She’s no daughter of mine."
Yennefer,"Mother. Please help me."
Tissaia,"Excellent. I’ll be going."
Yennefer,"You can’t take me! I won’t go."
Yennefer,"Let me out! Let me out! Four marks."
soldier 1,"Princess!"
soldier 2,"Princess Cirilla!"
soldier 3,"Princess Cirilla!"
soldier 4,"Come on! Now, Princess!"
soldier 1,"You, check down there."
soldier 3,"Princess?"
soldier 2,"Where are you, Princess?"
soldier 3,"Princess Cirilla!"
soldier 1,"Moving to the stream."
soldier 3,"You, keep your eyes open."
Ciri,"Who’s there? Stop right there. You mean they’re poison? Oh, uh… no, thank you. I don’t eat rat. Wait."
Ciri,"Wh- Where in Cintra did you live? Where are your parents? Why don’t you talk? I haven’t spoken to anybody in three days. I guess… I’m on the run. I’m supposed to be going towards someone, but instead, I’m running from someone else. He has this… this big bird on his head. I don’t know what he wants from me. We should smother the fire. I can’t be caught by him. I can’t."
Ciri,"Look, it’s the Cintran flag. Come on, we’re saved. Rat boy?"
Jaskier,"You think you’re safe / Without a care / But here in Posada / You’d be wise to beware / The pike with the spike / That lurks in your drawers / Or the flying drake / That will fill you with horror / Need old Nan the Hat / To stir up a potion / So that your lady / May get an abortion"
villager 1,"Abort yourself!"
Jaskier,"Oh, oi! Stop! Fuck off!"
villager 2,"Shut up!"
Jaskier,"I’m so glad that I could bring you all together like this."
villager 3,"Sit down and shut up!"
Jaskier,"Unbelievable. I love the way you just… sit in the corner and brood."
Geralt,"I’m here to drink alone."
Jaskier,"Good. Yeah, good. No one else hesitated to comment on the quality of my performance, except… for you. Come on. You don’t want to keep a man with… bread in his pants waiting. You must have some review for me. Three words or less."
Geralt,"They don’t exists."
Jaskier,"What don’t exist?"
Geralt,"The creatures in your song."
Jaskier,"And how would you know? Oh, fun. White hair… big, old loner, two very… very scary-looking swords. I know who you are. You’re the Witcher, Geralt of Rivia. Called it."
Nettly,"A job I’ve got for ya. I beg you. A devil- he’s been stealing all our grain. In advance, I’ll pay you. A hundred ducat."
Geralt,"One fifty."
Nettly,"I’ve no doubt you’ll come through. You take no prisoners, so I hear."
Jaskier,"Ah. Need a hand? I’ve got two. One for each of the, uh, devil’s horns."
Geralt,"Go away."
Jaskier,"I won’t be but a silent back-up. Look, I heard your note, and, yes, you’re right, maybe real adventures would make a better stories. And you, sir, smell chock-full of them. Amongst other things. I mean, what is that? Is that onion? It doesn’t matter. Whatever it is, you smell of death and destiny. Heroics and heartbreak."
Geralt,"It’s onion."
Jaskier,"Right, yeah. Yeah. Ooh, I could be your barker, spreading the tales of Geralt of Rivia, the- the Butcher of Blaviken."
Geralt,"Come here."
Jaskier,"Yeah?"
Geralt,"Come on, Roach."
Tissaia,"Do you know how many people wouldn’t blink if you died? You get to live."
Yennefer,"Who are you?"
Tissaia,"Tissaria de Vries. Rectoress of Aretuza."
Yennefer,"You should’ve let me die. At least I had control over that."
Tissaia,"Oh, that’s adorable piglet. You weren’t taking control. You were losing it. Be in the greenhouse in 20 minutes."
Tissaia,"I sense your terror. And you are right to be afraid. Chaos is the most dangerous thing in this world. It is all around us all the time. Volatile and powerful. But each one of you showed an aptitude for channeling it. Your conduit moment created a new ripple in chaos, reaching me here in Aretuza. Anica, you saved a drowning boy with your mind. Fringilla froze a cat."
Fringilla,"On accident."
Tissaia,"Sabrina turned her mother fat. But just because you are conduits pf chaos does not mean that you are capable of magic."
Anica,"I want to go home."
Tissaia,"This is your home. Listen closely. Your survival depends on it. Magic is organizing chaos. And while oceans of mystery remain, we have deduced that this requires two things. Balance and control. Without them chaos will kill you. This is the simplest of trials to see whether you are worthy of the ascension. Between your flower and your stone lies the balance. Lift your stone without touching it. Use the incantation."
Fringilla,"I’m doing it."
Sabrina,"Your hand…"
Tissaia,"This is the balance. Demonstrated beautifully. Thank you, Fringilla. There is no conjuring something from nothing. There is a give and a take."
Tissaia,"You’ve lost a lot of blood, piglet."
Tissaia,"Sometimes a flower is just a flower. And the best thing it can do for us is to die."
Yennefer,"Istredd. You were right. She found me."
Istredd,"And you found me."
Yennefer,"My name. It’s Yennefer."
Istredd,"It’s good to meet you properly… Yennefer."
woman,"Hey, no cutting."
Ciri,"Don’t touch me. This food was provided by the queen."
woman,"May she rot in hell."
Adon,"Your cloak… My father made it. Ziven Ozol. He clothes Cintra’s finest. You look like you’ve been through hell. Like all of us. They’re elf ears. I killed them all. Doing my part to avenge human lives lost in Filavandrel’s uprising."
Ciri,"Filavandrel?"
Adon,"The elves call him “King”. Last year, he tried to claim Cintran land. My brother got an arrow in the brain. Every day I make sure his death’s not in vain. Come. Meet my family. Come. Mother, I brought someone to join us. This is…"
Ciri,"Fiona."
Lilja,"Look at you in your little cloak."
Adon,"Our father just died."
Lilja,"Fighting to defend that wretched bitch and her wretched family."
Adon,"Mother, stop. It wasn’t Queen Calanthe’s fault. Nilfgaard only got past Cintran borders because of elven spies."
Zeke,"Technically, it was the elves’ land first."
Adon,"Our brother died for that land."
Lilja,"And your father died for Calanthe’s selfishness. One conflict after another. Robbing us of our homes, our men, and our lives. When will it stop?"
Adon,"When I’m a knight. I’ll have enough coin to rebuild our house."
Ciri,"You’re to be a knight?"
Adon,"I have to apprentice, but I’ll be ready when Cintra rises again."
Lilja,"To order and dignity. Oh, child. Your shoes. Let’s get you a fresh pair, why don’t we?"
Ciri,"That’d be wonderful. Thank you."
Lilja,"Abbott. Don’t worry. He’s one of the clean ones."
Jaskier,"Reading between the lines and the gut punches, chum, I’d say you have got a bit of a… an image problem. Were I to join you on this… feat to defeat the devil of Posada, I could relieve you of that title. All the North would be too busy singing the tales of… Geralt of Rivia, the- the white Wolf or- or something."
Geralt,"Butcher is right."
Jaskier,"Mind if I hop up? It’s just that, I’m not really wearing the right kind of footwear."
Geralt,"Don’t touch Roach."
Jaskier,"Yeah, right, yeah. The elves called this Dol Blathanna before bequeathing it the humans and retreating into their golden palaces in the mountains. There I go again, just… delivering exposition. Geralt? Geralt? Wh- Where are you going? Geralt, don’t leave me. Hello? What are we looking for again?"
Geralt,"Blessed silence."
Jaskier,"Yeah, I don’t really go in for that. Have you ever hunted a devil before? Have you, uh, have you ever hunted a devil before, Geralt?"
Geralt,"Devils don’t exist."
Jaskier,"Right. Obviously. Then, uh… then what are we doing?"
Geralt,"Sometimes there’s monster, sometimes there’s money. Rarely both. That’s the life. Shit!"
Jaskier,"Act Two begins! What was that? Looks like a tiny cannonball from a… Oh, my gosh. Geralt… it is a devil. Ooh. I have to see this magical, this mythi-"
Torque,"Leave me be!"
Geralt,"You talk."
Torque,"Of course I talk!"
Geralt,"What happened with you? Your mother fuck a goat?"
Torque,"I am Torque the Sylvan, a rare and intelligent creature!"
Geralt,"You’re a dick. With balls."
Torque,"Balls I got from humans, who left out food filled with iron meant to poison me!"
Geralt,"Ow!"
Torque,"Did your mother fuck a snowman?"
Geralt,"You are intelligent, I’ll give you that. So I won’t kill you, but you can’t stay here."
Torque,"Neither can you."
Tissaia,"Look into her eyes. Look until a door becomes a window. Seek to understand your partner’s greatest fears."
Yennefer,"With our eyes?"
Tissaia,"No, piglet. With chaos. Thought transference should flow through you, like learning to dance or swim or kiss."
Anica,"Come on, you can do it."
Yennefer,"Anica’s worst fear is snakes."
Tissaia,"Come here. You take weeks to lift your stone. You can’t bend water. You struggle to perform the simplest physical tasks. And now you lie to me? Your worst fear makes such sense. Even if you were a beauty, still, no one would love you."
Yennefer,"Tissaia’s right. I’ve been here for weeks and can barely do shit."
