recipe_title	ingredients	cuisine	course	diet	prep_time	cook_time	rating	vote_count
Watermelon Panzanella Salad Recipe	Baguette, Garlic powder, Extra Virgin Olive Oil, Watermelon, Cucumber, Red onion, Spinach, Balsamic Vinegar, Black olives, Salt and Pepper	Italian	Appetizer	Vegetarian	10 M	15 M	4.8524822695035	705
Roasted Carrots & Mushroom Pasta In White Sauce Recipe	Button mushrooms, Carrots, Extra Virgin Olive Oil, All Purpose Flour, Milk, Fresh cream, Mozzarella cheese, Italian seasoning, Dried oregano, Salt and Pepper	Italian	Main Course	Vegetarian	15 M	30 M	4.9185770750988	1265
Indian Style Fajitas Recipe	Phulka, Button mushrooms, Green zucchini, Green bell peppers, Onion, Sunflower Oil, Mexican seasoning, Salt	Mexican	Side Dish	Vegetarian	10 M	20 M	4.8865168539326	890
Spiced Cauliflower And Almond Soup Recipe	Cauliflower, Badam, Cumin powder, Coriander Powder, Cinnamon Powder, Salt, Extra Virgin Olive Oil, Black pepper powder	Italian	Dinner	Vegetarian	10 M	45 M	4.9142040038132	1049
Fusilli Alla Caprese Recipe-Pasta With Cherry Tomatoes And Basil Leaves	Pasta  Fusilli, Extra Virgin Olive Oil, Garlic, Cherry tomatoes, Salt, Whole Black Peppercorns, Basil leaves, Mozzarella cheese	Italian	Dinner	Vegetarian	10 M	30 M	4.9486607142857	448
Quick And Spicy Bell Pepper Pasta Recipe	Conchiglie Pasta, Green bell peppers, Red Bell pepper, Yellow Bell Pepper, Onion, Green Chilli, Salt, Vinegar, Sugar, Extra Virgin Olive Oil	Italian	Dinner	Vegetarian	10 M	25 M	4.8917197452229	314
Mushroom And Quail Egg Gougere Recipe	All Purpose Flour, Whole Eggs, Water, Cheddar cheese, Button mushrooms, Onion, Garlic, Salt, Balsamic Vinegar, Spring Onion, Red Chilli flakes, Coriander  Leaves, Quail eggs	French	World Breakfast	Eggetarian	10 M	75 M	4.9137254901961	255
Eggless Cranberry Pistachio Biscotti Recipe	All Purpose Flour, Baking powder, Oil, Sugar, Vanilla Extract, Pistachios, Cranberries, Salt	French	Dessert	Vegetarian	60 M	35 M	4.7900363480864	4677
Open Bean and Veggies Burrito Muffin Recipe	Mixed vegetables, Pickled Jalapenos, Red Chilli flakes, Dried oregano, Cooked rice, Rajma, Salt and Pepper, Lemon juice, Parsley leaves, Cheese, Spring Onion Greens	Mexican	Appetizer	Vegetarian	10 M	8 M	4.8897058823529	272
Aglio E Olio Pasta Recipe with Roasted Cauliflower, Peppers & Cashew Nuts	Spaghetti Pasta, Garlic, Extra Virgin Olive Oil, Red Chilli flakes, Mixed Herbs, Salt, Black pepper powder, Red Bell pepper, Cauliflower, Cashew nuts	Italian	Main Course	Vegetarian	15 M	20 M	4.9083728278041	633
Spinach Tomato Soup Italian Style Recipe	Onion, Carrots, Spinach, Tomatoes, Garlic, Red Chilli flakes, Paprika powder, Dried oregano, Black pepper powder, Salt, Extra Virgin Olive Oil, Penne pasta, White vinegar	Italian	Dinner	Vegetarian	15 M	30 M	4.8648648648649	888
Italian Oat Crust Pizza Topped With Spinach And Paneer Recipe	Whole Wheat Flour, Instant Oats, Lukewarm Water, Honey, Extra Virgin Olive Oil, Spinach, Italian seasoning, Red Chilli flakes, Salt, Sunflower Oil, Tomatoes, Basil leaves, Garlic, Extra Virgin Olive Oil, Salt and Pepper	Italian	Lunch	Vegetarian	150 M	45 M	4.9441624365482	1182
White Beans And Spinach Enchiladas Recipe With Spicy Jalapeno Sauce	Pickled Jalapenos, Butter, All Purpose Flour, Garlic, Salt and Pepper, Coriander  Leaves, Spring Onion, Onion, Extra Virgin Olive Oil, Garlic, Spinach, Dried oregano, Lemon juice, Sweet corn, White Cannelloni Beans, Salt and Pepper, Coriander  Leaves, Tortillas, Cheddar cheese	Mexican	Dinner	Vegetarian	10 M	50 M	4.9406528189911	337
Chunky Cucumber Salsa Recipe	Cucumbers, Red onion, Tomato, Garlic, Pickled Jalapenos, Whole Black Peppercorns, Coriander  Leaves, Salt, Lemon juice, Spring Onion Greens	Mexican	Dinner	Vegetarian	15 M	30 M	4.840885142255	1898
Tortilla Pizza With Tomato, Onion And Capsicum Recipe	Corn flour tortilla, Mozzarella cheese, Tomato, Onion, Green Bell Pepper, Dried oregano, Red Chilli flakes	Mexican	Appetizer	Vegetarian	5 M	20 M	4.9261363636364	528
Balsamic Glazed Eggplant Feta Rollatini Recipe	Brinjal, Feta Cheese, Dried oregano, Garlic, Basil leaves, Tomato, Red Radish, Extra Virgin Olive Oil, Balsamic Vinegar, Black olives, Sea salt	Italian	Appetizer	Vegetarian	40 M	15 M	4.9688888888889	225
Spinach And Corn Pasta Salad In Jar Recipe	Penne pasta, Sweet corn, Spinach, Yellow Bell Pepper, Red Bell pepper, Blanched tomatoes, Green Bell Pepper, Garlic, Dry Red Chilli, Vinegar, Extra Virgin Olive Oil, Mixed Herbs, Salt, Pumpkin seeds, Italian seasoning, Mozzarella cheese, Basil leaves, Black olives	Italian	Lunch	Vegetarian	10 M	30 M	4.9621993127148	291
Baked Creamy Potato Gratin Recipe	Fresh cream, Milk, Potatoes, Sweet Potatoes, Onions, Parmesan cheese, Rosemary, Nutmeg powder, Salt, Red Chilli flakes, Extra Virgin Olive Oil	French	Dinner	Vegetarian	20 M	40 M	4.9705521472393	815
Roasted Vegetable Lasagna Recipe	Lasagna sheets, Extra Virgin Olive Oil, Onion, Garlic, Button mushrooms, Carrots, Red Bell pepper, Green zucchini, Veeba Pizza & Pasta Sauce, Fresh cream, Veeba White Pasta Dressing, Basil leaves, Mozzarella cheese	Italian	Main Course	Vegetarian	20 M	60 M	4.92946914275	5331
Creamy Alfredo Cauliflower Pasta Recipe	Cauliflower, Garlic, Milk, Salt, Tagliatelle pasta, Garlic, Rosemary, Red Chilli flakes, Basil leaves, Salt, Extra Virgin Olive Oil, Parsley leaves	Italian	Lunch	Vegetarian	10 M	30 M	4.9082007343941	817
French Toast Recipe Flavored with Orange	Whole Eggs, Caster Sugar, Orange Zest, Fresh orange juice, Orange, Hung Curd, Sunflower Oil, Honey	French	World Breakfast	Eggetarian	15 M	20 M	4.7507246376812	345
Whole Wheat Vegetarian Stromboli Recipe	Whole Wheat Flour, Honey, Extra Virgin Olive Oil, Salt, Lukewarm Water, Onion, Red Bell pepper, Button mushrooms, Black olives, Mozzarella cheese, Whole Eggs	Italian	Dinner	Vegetarian	120 M	80 M	4.9251396648045	895
Cinnamon Sugar Focaccia Bread Recipe	Lukewarm Water, Sugar, All Purpose Flour, Lukewarm Water, Extra Virgin Olive Oil, Sugar, All Purpose Flour, Sea salt, Cinnamon Sugar, Sultana Raisins, Cranberries	Italian	Snack	Vegetarian	30 M	200 M	4.9267399267399	546
Penne Rigate With Minced Chicken Sauce & Cheese Recipe	Penne pasta, Onion, Garlic, Chicken, Dried basil leaves, Italian seasoning, Red Chilli flakes, Extra Virgin Olive Oil, Parmesan cheese, Salt	Italian	Dinner	Non Vegeterian	20 M	25 M	4.9317028149515	2167
Caramelized Banana French Toast Recipe	Whole Eggs, Milk, Vanilla Extract, Sugar, Cinnamon Powder, Salt, Sugar, Ripe Bananas, Vanilla Extract	French	World Breakfast	Eggetarian	10 M	10 M	4.915860014892	1343
Tomato and Sunflower Seed Dip Recipe	Tomatoes, Sunflower seeds, Green Chilli, Coriander  Leaves, Spring Onion Greens, Salt, Extra Virgin Olive Oil	Mexican	Appetizer	Vegetarian	5 M	15 M	4.9197224975223	1009
Spinach and Basil Pasta Sauce Recipe	Spinach, Basil leaves, Garlic, Milk, Salt	Italian	NA	Vegetarian	5 M	10 M	4.91065830721	638
Raw Jackfruit Burrito Recipe	Jackfruit Raw, Onion, Garlic, Ginger, Cumin powder, Black pepper powder, Cinnamon Powder, Paprika powder, Turmeric powder, Salt, Rajma, Onion, Tomato, Garlic, Cumin powder, Red Chilli powder, Black pepper powder, Sugar, Salt, Cooked rice, Dried Thyme Leaves, Paprika powder, Salt, Red Bell pepper, Yellow Bell Pepper, Green Bell Pepper, Onion, Paprika powder, Cumin powder, Salt and Pepper, Tortillas	Mexican	Lunch	Vegetarian	20 M	45 M	4.8945454545455	550
Homemade Healthy Sour Cream Recipe	Hung Curd, Fresh cream, Salt, Lemon juice	Mexican	Side Dish	Vegetarian	10 M	0 M	4.8303495311168	7038
Gluten Free Rice Flour Pizza Crust With Roasted Vegetables and Feta Cheese Recipe	Rice flour, Potato, Sugar, Salt, Lukewarm Water, Milk, Extra Virgin Olive Oil, Feta Cheese, Button mushrooms, Green zucchini, Red Bell pepper, Onion, Pizza seasoning	Italian	Dinner	Gluten Free	20 M	40 M	4.8012879484821	2174
Cheesy Loaded Veggie Nachos Recipes	Butter, All Purpose Flour, Milk, Salt, Britannia Cheese Spread - Mexican Chilli, Tomatoes, Onion, Green Chilli, Cumin powder, Red Chilli powder, Sugar, Lemon, Coriander  Leaves, Salt, Oil, Garlic, Onion, Rajma, Cumin powder, Turmeric powder, Salt, Nachos, Black olives, Pickled Jalapenos, Britannia Cheese Block	Mexican	Appetizer	Vegetarian	10 M	20 M	4.9596945800476	7989
Oats, Mango and Yogurt Breakfast Parfait	Instant Oats, Hung Curd, Honey, Mango, Whole Almonds 	French	World Breakfast	High Protein Vegetarian	5 M	25 M	4.9104134762634	2612
Whole Wheat & Ragi Crust Skillet Pizza Recipe Topped With Roasted Zucchini & Olives	Whole Wheat Flour, Ragi Flour, Salt, Sugar, Extra Virgin Olive Oil, Carrots, Yellow Zucchini, Garlic, Extra Virgin Olive Oil, Salt and Pepper, Mozzarella cheese	Italian	Dinner	Vegetarian	120 M	20 M	4.8772893772894	2184
Cheese Garlic Bread Recipe	Italian Bread, Extra Virgin Olive Oil, Garlic, Dried oregano, Mozzarella cheese	Italian	Side Dish	Vegetarian	10 M	15 M	4.8959417273673	1922
Mango Shrikhand Taco Recipe - Sweet Mango Yogurt Dip Taco	Hard taco shells, Mango, Salt, Red Chilli powder, Mint Leaves 	Mexican	Dessert	Vegetarian	15 M	0 M	4.9526627218935	338
Herbed Potato And Green Olive Salad Recipe - A Delicious Summertime Salad	Baby Potatoes, Extra Virgin Olive Oil, Red onion, Garlic, Lemon juice, Coconut milk, Salt, Whole Black Peppercorns, Basil leaves, Green olives	Italian	Dinner	Vegetarian	10 M	30 M	4.9542253521127	284
Leek Mushroom & Lemon Risotto Recipe	Butter, Extra Virgin Olive Oil, Garlic, Leek, Button mushrooms, White Wine, Lemon zest, Lemon juice, Risotto Rice, Cheddar cheese, Salt and Pepper	Italian	Dinner	Vegetarian	20 M	40 M	4.937898089172	628
Homemade Guacamole Recipe - Perfect Mexican Guacamole Dip	Avocados, Green Chilli, Tomato, Onion, Lemon juice, Coriander  Leaves, Salt	Mexican	Side Dish	Vegetarian	20 M	20 M	4.9064195298373	2212
Spicy Mexican Salsa Recipe - Tomato Salsa Recipe	Tomatoes, Onion, Green Chillies, Cumin powder, Salt, Sugar, Coriander  Leaves	Mexican	Side Dish	Vegetarian	15 M	20 M	4.8867749419954	6465
Creamy Spinach Basil Pasta Recipe	Spinach Leaves, Basil leaves, Onion, Garlic, Pasta  Fusilli, Extra Virgin Olive Oil, Red Chilli flakes, Fresh cream, Cheddar cheese, Salt	Italian	Lunch	Vegetarian	10 M	25 M	4.8162313432836	1072
Mexican Style Fresh Rajma Bean & Raw Mango Salad Recipe	Lemon juice, Honey, Cumin powder, Oil, Salt, Black pepper powder, Mango, Green Bell Pepper, Rajma, Pickled Jalapenos, Red onion, Tomato, Coriander  Leaves	Mexican	Appetizer	Vegetarian	10 M	20 M	4.9346120313862	1147
Broccoli Cheddar Frittata Recipe	Whole Eggs, Milk, Onion, Broccoli, Salt, Whole Black Peppercorns, Cheddar cheese, Parsley leaves	Italian	World Breakfast	Eggetarian	15 M	20 M	4.9349593495935	861
Pull Apart Mini Pizza Boats Recipe	Sugar, Lukewarm Water, Whole Wheat Flour, Salt, Italian seasoning, Extra Virgin Olive Oil, Tomatoes, Onion, Pickled Jalapenos, Garlic, Salt, Sugar, Dried oregano, Italian seasoning, Green Bell Pepper, Button mushrooms, Green Chillies, Garlic, Dried oregano, Red Bell pepper, Salt, Extra Virgin Olive Oil, Mozzarella cheese	Italian	Appetizer	Vegetarian	60 M	40 M	4.8587699316629	439
Pizza With Soy And Corn Recipe	Pizza base, Mozzarella cheese, Onions, Soy granules, Sweet corn, Dried oregano, Butter, Tomatoes, Garlic, Oil, Sugar, Dried oregano, Red Chilli flakes, Salt, Black olives, Cherry tomatoes	Italian	Dinner	High Protein Vegetarian	20 M	40 M	4.9032258064516	558
Homemade Corn Tortilla Recipe	Makki Ka Atta, Salt, Hot water, Whole Wheat Flour	Mexican	Main Course	Vegetarian	5 M	30 M	4.878812860676	2426
Churros Recipe With Cinnamon & Sugar | Eggless Recipe	Milk, Water, Butter, Salt, Sugar, All Purpose Flour, Baking powder, Caster Sugar, Cinnamon Powder 	Mexican	Snack	Vegetarian	10 M	20 M	4.9040307101727	3126
Penne Arrabbiata Pasta Recipe	Penne pasta, Onion, Garlic, Red Chilli flakes, Mixed Herbs, Whole Black Pepper Corns, Salt, Sugar, Extra Virgin Olive Oil, Basil leaves	Italian	Dinner	Vegetarian	10 M	40 M	4.8972191930207	3668
Roasted Vegetable Farfalle Pasta Salad Recipe	Carrot, Green beans, Red Bell pepper, Asparagus, Green peas, Basil leaves, Dried oregano, Extra Virgin Olive Oil, Salt, Tomatoes, Onion, Garlic, Salt and Pepper, Paprika powder, Sugar	Italian	Dinner	Vegetarian	10 M	15 M	4.9039256198347	968
Potato & Basil Frittata Recipe	Coconut Oil, Baby Potatoes, Salt and Pepper, Whole Eggs, Basil leaves	Italian	World Breakfast	Eggetarian	10 M	30 M	4.8498789346247	413
Baked Pasta Recipe With Spinach And Artichoke	Penne pasta, Butter, Black olives, Spinach, Artichokes, Extra Virgin Olive Oil, Onion, Garlic, All Purpose Flour, Milk, Feta Cheese, Dried oregano, Salt and Pepper	Italian	Dinner	Vegetarian	15 M	60 M	4.8706624605678	634
One Pot Spinach Macaroni Pasta Recipe	Macaroni pasta, Spinach, Oil, Parmesan cheese, Milk, Butter, Black pepper powder, Salt	Italian	Dinner	Vegetarian	10 M	15 M	4.7826086956522	1035
Spinach Enchilada Recipe	Corn flour tortilla, Cheddar cheese, Spinach, Onion, Soy granules, Khoya, Pickled Jalapenos, Garlic, Extra Virgin Olive Oil, Cumin seeds, Whole Black Peppercorns, Salt, Onion, Tomato, Garlic, Pickled Jalapenos, Coriander  Leaves, Lemon juice, Salt, All Purpose Flour, Garlic, Red Chilli powder, Extra Virgin Olive Oil, Cumin powder, Sugar, Salt	Mexican	Dinner	Vegetarian	30 M	25 M	4.8932748538012	684
Ruote Pasta & Eggplant Gratin Recipe	Route Pasta, Extra Virgin Olive Oil, Sweet corn, Red Bell pepper, Onion, Garlic, Soy granules, Brinjal, Red Chilli flakes, Whole Black Peppercorns, Basil leaves, Parsley leaves, Gouda cheese, Whole Wheat Bread crumbs	Italian	Dinner	Vegetarian	20 M	50 M	4.9076638965836	1083
Classic Pizza Margherita Recipe - Pizza Topped With Cheese And Tomato Sauce	All Purpose Flour, Sooji, Salt, Honey, Lukewarm Water, Extra Virgin Olive Oil, Sooji, Mozzarella cheese, Basil leaves, Dried oregano, Red Chilli flakes	Italian	Dinner	Vegetarian	10 M	60 M	4.9117161716172	1212
Roasted Vegetable Quesadilla Recipe With Zucchini, Carrots & Red Cabbage	Whole Wheat Flour, Salt, Spring Onion, Carrots, Yellow Zucchini, Red Bell pepper, Red cabbage, Cumin powder, Processed Cheese, Extra Virgin Olive Oil	Mexican	Dinner	High Protein Vegetarian	20 M	30 M	4.9395161290323	744
Whole Wheat Sun Dried Tomato Focaccia Bread | Healthy Homemade Bread Recipe	All Purpose Flour, Whole Wheat Flour, Salt, Honey, Dried oregano, Rosemary, Whole Black Peppercorns, Extra Virgin Olive Oil, Lukewarm Water, Parmesan cheese, Onion	Italian	Dinner	Vegetarian	120 M	30 M	4.9189765458422	1407
Chatpata Aloo Chaat Taco Recipe With Sour Cream & Salad	Hard taco shells, Potatoes, Roasted Peanuts, Chaat Masala Powder, Cumin powder, Amchur, Salt, Lemon juice, Lemon juice	Mexican	Dinner	Vegetarian	15 M	0 M	4.8353488372093	2150
Vegetarian  Mexican Quesadilla Recipe	Tortillas, Britannia Cheese Block, Carrots, Red Bell pepper, Green Bell Pepper, Green zucchini, Extra Virgin Olive Oil, Salt	Mexican	Dinner	Vegetarian	20 M	30 M	4.8490945674044	8449
Vegetable Au Gratin with Cauliflower Carrots and Beans	Sunflower Oil, Carrots, Green beans, Cauliflower, Salt, Dried oregano, Corn flour, Water, Milk, Cheese spread, Black pepper powder, Salt, Red Chilli flakes, Britannia Cheese Block	French	Main Course	Vegetarian	20 M	45 M	4.853169469599	1546
Vegetarian Mexican Fried Rice Recipe	Cooked rice, Rajma, Sweet corn, Onion, Tomato, Green Bell Pepper, Garlic, Butter, Salt, Tomato Ketchup, Vinegar, Cayenne Pepper	Mexican	Lunch	Vegetarian	10 M	30 M	4.9221949221949	2442
Spaghetti Pasta Recipe in Basil Pesto Sauce	Spaghetti Pasta, Extra Virgin Olive Oil, Red Chilli flakes, Black olives, Fresh cream, Milk, Salt, Garlic, Basil leaves, Walnuts, Extra Virgin Olive Oil, Cumin powder, Red Chilli powder, Salt	Italian	Dinner	Vegetarian	20 M	40 M	4.9066059225513	1317
Homemade Loaded Chicken Nachos Recipe	Nachos, Pickled Jalapenos, Mozzarella cheese, Black olives, Chicken breasts, Extra Virgin Olive Oil, Salt and Pepper	Mexican	Appetizer	Non Vegeterian	15 M	10 M	4.9263721552878	747
Sun Dried Tomato Olive Pasta In Fresh Tomato Sauce Recipe	Spaghetti Pasta, Garlic, Sundried tomatoes, Kalmatta olives, Extra Virgin Olive Oil, Salt and Pepper, Dried oregano, Red Chilli flakes, Tomatoes, Onion, Garlic, Paprika powder, Dry mix herbs, Salt and Pepper, Sugar, Extra Virgin Olive Oil, Extra Virgin Olive Oil	Italian	Main Course	Vegetarian	15 M	30 M	4.6316639741519	619
Chicken Lasagna Recipe	Boneless chicken, Black pepper powder, Paprika powder, Lemon juice, Salt, Lasagna sheets, Mozzarella cheese, Parmesan cheese, Parsley leaves	Italian	Lunch	Non Vegeterian	10 M	45 M	4.8950378729324	6469
Spring Onion, Pepper & Spaghetti Soup Recipe	Spaghetti Pasta, Extra Virgin Olive Oil, Green Bell Pepper, Spring Onion, Spring Onion Greens, Corn flour, Milk, Salt, Whole Black Peppercorns	Italian	Appetizer	Vegetarian	15 M	30 M	4.9272727272727	330
Herbed Focaccia Bread Recipe	All Purpose Flour, Whole Wheat Flour, Extra Virgin Olive Oil, Honey, Milk, Salt, Mixed Herbs, Garlic	Italian	Side Dish	Vegetarian	100 M	20 M	4.9137146249753	5053
Chickpea and Broccoli Quesadilla Recipe	Tortillas, Onion, Garlic, Kabuli Chana, Broccoli, Cumin powder, Dried oregano, Red Chilli flakes, Fresh cream, Salt	Mexican	Appetizer	Vegetarian	10 M	30 M	4.9653579676674	866
Italian Classic Bread With Cheese And Herbs	French Loaf, Butter, Extra Virgin Olive Oil, Dried oregano, Parsley leaves, Red Chilli flakes, Mozzarella cheese, Garlic, Green Chilli, Salt, Black pepper powder	Italian	Appetizer	Vegetarian	10 M	30 M	4.915	400
Baked Pasta Recipe with Paneer and Spinach	Rigatoni Pasta, Extra Virgin Olive Oil, Garlic, Spinach, Salt and Pepper, Red Chilli flakes, Basil leaves, Cheddar cheese, Spinach Leaves 	Italian	Main Course	Vegetarian	20 M	30 M	4.8531510107015	1682
Baked Mexican Rice Recipe	Cooked rice, Onion, Red Chilli flakes, Rajma, Oil, Salt, Black pepper powder, Tomatoes, Onion, Garlic, Dried oregano, Red Chilli flakes, Sugar, Oil, Salt, Black pepper powder, Tomato Ketchup, Sweet corn, Green Bell Pepper, Tomato, Black olives, Mozzarella cheese	Mexican	Dinner	Vegetarian	10 M	25 M	4.9203675344564	3265
Spinach Pizza With Sun Dried Tomatoes & Feta Cheese	Whole Wheat Flour, Honey, Salt, Spinach Leaves, Garlic, Extra Virgin Olive Oil, Salt and Pepper, Feta Cheese, Mozzarella cheese	Italian	Dinner	Vegetarian	120 M	20 M	4.7630711257654	2123
Vegetarian Mexican Tacos Recipe With Baked Beans, Peppers and Salad	Hard taco shells, Onion, Iceberg lettuce, Red Bell pepper, Green Bell Pepper, Cabbage, Tomatoes, Cumin powder, Parsley leaves, Baked beans, Cheddar cheese, Salt and Pepper	Mexican	Main Course	High Protein Vegetarian	20 M	20 M	4.8712945590994	2665
Vegetarian Mexican Chili for Tacos Recipe - Made from Horse Gram	Horse Gram Dal, Onion, Celery, Pickled Jalapenos, Garlic, Tomato, Red Chilli powder, Cumin powder, Dried oregano, Bay leaf, Black pepper powder, Extra Virgin Olive Oil, Salt	Mexican	Dinner	Diabetic Friendly	10 M	60 M	4.9126637554585	687
